client_id,contrat_id,position_id,isin,libelle,classe_actif,zone_geo,secteur,devise,quantite,date_premier_achat,valorisation_courante_eur,poids_dans_contrat_pct
CLI00001,CTR00004,POS00001,FR0010000011,Fonds € Sécurité Plus,Fonds €,France,,EUR,28.5939,2025-11-18,2977.9,90.0
CLI00001,CTR00004,POS00002,FR0010000022,Fonds Actions France Croissance,Actions,France,Diversifié,EUR,3.078,2024-08-01,330.88,10.0
CLI00002,CTR00009,POS00003,FR0010000011,Fonds € Sécurité Plus,Fonds €,France,,EUR,407.943,2025-10-27,44494.67,48.0
CLI00002,CTR00009,POS00004,FR0010000132,Fonds Matières Premières,Matières Prem.,Monde,Énergie/Or,EUR,342.3101,2025-06-25,33533.63,36.18
CLI00002,CTR00009,POS00005,FR0010000110,SCPI Pierre Rendement,Immobilier,France,Immobilier,EUR,122.4418,2021-04-24,14668.93,15.82
CLI00003,CTR00015,POS00006,FR0010000011,Fonds € Sécurité Plus,Fonds €,France,,EUR,1751.1186,2023-05-09,169588.78,74.0
CLI00003,CTR00015,POS00007,FR0010000165,Fonds Monétaire Euro,Monétaire,Europe,,EUR,129.6376,2013-12-23,16368.97,7.14
CLI00003,CTR00015,POS00008,LU0010000066,Fonds Actions Tech USA,Actions,États-Unis,Technologie,USD,25.7248,2016-04-08,3041.36,1.33
CLI00003,CTR00015,POS00009,FR0010000022,Fonds Actions France Croissance,Actions,France,Diversifié,EUR,31.769,2015-06-13,3040.84,1.33
CLI00003,CTR00015,POS00010,FR0010000143,Fonds Small Caps Europe,Actions,Europe,Small Caps,EUR,8.6195,2017-02-07,1072.9,0.47
CLI00003,CTR00015,POS00011,FR0010000077,Fonds Actions Émergents,Actions,Émergents,Diversifié,EUR,318.8409,2025-12-30,36061.17,15.74
CLI00003,CTR00016,POS00012,FR0010000011,Fonds € Sécurité Plus,Fonds €,France,,EUR,1242.9143,2024-04-09,121758.21,57.0
CLI00003,CTR00016,POS00013,FR0010000022,Fonds Actions France Croissance,Actions,France,Diversifié,EUR,290.3042,2012-02-20,38883.03,18.2
CLI00003,CTR00016,POS00014,LU0010000066,Fonds Actions Tech USA,Actions,États-Unis,Technologie,USD,407.692,2008-10-27,52089.72,24.39
CLI00003,CTR00016,POS00015,FR0010000077,Fonds Actions Émergents,Actions,Émergents,Diversifié,EUR,6.6844,2019-05-30,879.94,0.41
CLI00003,CTR00017,POS00016,FR0010000143,Fonds Small Caps Europe,Actions,Europe,Small Caps,EUR,487.0516,2014-03-31,64230.58,61.15
CLI00003,CTR00017,POS00017,FR0010000077,Fonds Actions Émergents,Actions,Émergents,Diversifié,EUR,236.3425,2017-09-17,32750.54,31.18
CLI00003,CTR00017,POS00018,FR0010000022,Fonds Actions France Croissance,Actions,France,Diversifié,EUR,34.0146,2021-02-20,4375.85,4.17
CLI00003,CTR00017,POS00019,FR0010000033,Fonds Actions Europe Value,Actions,Europe,Diversifié,EUR,27.6859,2022-12-03,3679.04,3.5
CLI00003,CTR00018,POS00020,FR0010000088,Fonds Obligations Euro IG,Obligations,Europe,Investment Grade,EUR,201.2336,2020-06-21,18784.36,15.47
CLI00003,CTR00018,POS00021,FR0010000022,Fonds Actions France Croissance,Actions,France,Diversifié,EUR,260.7178,2018-09-24,33631.35,27.71
CLI00003,CTR00018,POS00022,LU0010000099,Fonds Obligations High Yield,Obligations,Monde,High Yield,EUR,640.8811,2018-08-17,68970.47,56.82
CLI00004,CTR00022,POS00023,FR0010000011,Fonds € Sécurité Plus,Fonds €,France,,EUR,832.8394,2021-04-09,89804.77,37.0
CLI00004,CTR00022,POS00024,FR0010000132,Fonds Matières Premières,Matières Prem.,Monde,Énergie/Or,EUR,277.2474,2017-04-14,36769.18,15.15
CLI00004,CTR00022,POS00025,FR0010000110,SCPI Pierre Rendement,Immobilier,France,Immobilier,EUR,233.9235,2015-11-07,22380.14,9.22
CLI00004,CTR00022,POS00026,FR0010000077,Fonds Actions Émergents,Actions,Émergents,Diversifié,EUR,535.8072,2021-05-09,61529.62,25.35
CLI00004,CTR00022,POS00027,FR0010000022,Fonds Actions France Croissance,Actions,France,Diversifié,EUR,70.2647,2024-09-20,9767.71,4.02
CLI00004,CTR00022,POS00028,FR0010000033,Fonds Actions Europe Value,Actions,Europe,Diversifié,EUR,272.9699,2006-12-19,22464.17,9.26
CLI00004,CTR00023,POS00029,FR0010000011,Fonds € Sécurité Plus,Fonds €,France,,EUR,760.5262,2025-06-15,72925.13,32.0
CLI00004,CTR00023,POS00030,FR0010000022,Fonds Actions France Croissance,Actions,France,Diversifié,EUR,195.6667,2017-05-05,19929.3,8.75
CLI00004,CTR00023,POS00031,FR0010000110,SCPI Pierre Rendement,Immobilier,France,Immobilier,EUR,315.8857,2024-01-07,26597.08,11.67
CLI00004,CTR00023,POS00032,LU0010000154,Fonds Actions Santé Monde,Actions,Monde,Santé,EUR,560.4644,2019-04-25,67174.04,29.48
CLI00004,CTR00023,POS00033,FR0010000132,Fonds Matières Premières,Matières Prem.,Monde,Énergie/Or,EUR,97.4699,2021-08-19,9728.67,4.27
CLI00004,CTR00023,POS00034,IE0010000055,ETF Indiciel Monde Dist.,Actions,Monde,Diversifié,EUR,319.0858,2019-05-31,31536.82,13.84
CLI00004,CTR00024,POS00035,FR0010000033,Fonds Actions Europe Value,Actions,Europe,Diversifié,EUR,212.4415,2023-02-17,25628.74,43.41
CLI00004,CTR00024,POS00036,FR0010000022,Fonds Actions France Croissance,Actions,France,Diversifié,EUR,10.1232,2016-12-27,1358.21,2.3
CLI00004,CTR00024,POS00037,FR0010000143,Fonds Small Caps Europe,Actions,Europe,Small Caps,EUR,228.4166,2020-05-23,26708.95,45.24
CLI00004,CTR00024,POS00038,FR0010000077,Fonds Actions Émergents,Actions,Émergents,Diversifié,EUR,54.4457,2020-03-15,5338.78,9.04
CLI00005,CTR00028,POS00039,FR0010000011,Fonds € Sécurité Plus,Fonds €,France,,EUR,761.5367,2025-10-20,80131.54,63.0
CLI00005,CTR00028,POS00040,FR0010000132,Fonds Matières Premières,Matières Prem.,Monde,Énergie/Or,EUR,4.4509,2025-06-04,493.72,0.39
CLI00005,CTR00028,POS00041,FR0010000033,Fonds Actions Europe Value,Actions,Europe,Diversifié,EUR,185.0118,2022-07-13,21827.04,17.16
CLI00005,CTR00028,POS00042,LU0010000066,Fonds Actions Tech USA,Actions,États-Unis,Technologie,USD,247.1312,2024-12-25,24740.62,19.45
